POINT P - DOCKS DE L'OISE ABBEVILLE; 684663; Oui; Oui
ABBEVILLE MATERIAUX; 684664; Oui; Oui
LACAMPAGNE ETS; 684695; Oui; Oui
MATX DUFRANCAIS - ABREST; 684697; Oui; Oui
MCA; 684713; Oui; Oui
LANNOY ACHEUX EN AMIENOIS; 11755; Oui; Oui
POINT P LA MERIDIONALE AGDE; 12222; Oui; Oui
UNION MATX AGDE (SA); 10752; Oui; Oui
CHAUSSON MATX/AGDE; 966728; Oui; Oui
GERVAIS MATERIAUX AIGUES MORTES; 55269; Oui; Oui
LABENNE ROUGIER SNC AIGUILLON; 684769; Oui; Oui
AIRMATERIAUX; 684787; Oui; Oui
STB AIRE SUR LA LYS; 684788; Oui; Oui
POINT P - BMSO 3616 AIRE/L'ADOUR; 684791; Oui; Oui
CHAUSSON MATX/AIRE SUR L'ADOUR; 684792; Oui; Oui
POINT P PAYS DE LOIRE AIRVAULT; 11732; Oui; Oui
BIGMAT - SERMAT SARL; 684795; Oui; Oui
POINT P - BMCE 1848 AIX EN OTHE; 684815; Oui; Oui
COMASUD (POINT P LUYNES); 684817; Oui; Oui
CIFFREO BONA LES MILLES - LOT 42; 684858; Oui; Oui
SAMSE - AIX LES BAINS 331; 684867; Oui; Oui
CHAUSSON MATX/AIX LES MILLES; 684869; Oui; Oui
FAGES; 684888; Oui; Oui
COUROUBLE MATERIAUX S.A.; 684890; Oui; Oui
SAMSE - ALBERTVILLE 341; 684895; Oui; Oui
POINT P BMRA 3524 ALBERTVILLE; 684902; Oui; Oui
CHAUSSON MATX/ALBI; 684906; Oui; Oui
POINT P LA MERIDIONALE ALBI; 684907; Oui; Oui
CAMOZZI MATERIAUX SAS; 203852; Oui; Oui
ALBI MATERIAUX; 684939; Oui; Oui
POINT P SONEN ALENCON; 684946; Oui; Oui
SAMSE - ALES; 684967; Oui; Oui
GERVAIS MATERIAUX ALES; 684977; Oui; Oui
POINT P - ALFORTVILLE (341); 684979; Oui; Oui
STE NVELLE PARIS CARRELAGES; 684980; Oui; Oui
POINT P - BMCE 1574 CLOYES; 684998; Oui; Oui
TECHNIMAT SAS - ALLEVARD; 685012; Oui; Oui
LACOMBE MATERIAUX PRIGONRIEUX; 685032; Oui; Oui
CHAUSSON MATX/ALLONNES; 685042; Oui; Oui
BOURG MATERIAUX ST DENIS LES BOURG; 685050; Oui; Oui
POINT P BMRA PRIVAS; 685052; Oui; Oui
SAMSE PRIVAS; 10165; Oui; Oui
POINT P LA MERIDIONALE LIMX; 685065; Oui; Oui
CHAUSSON MATX/LIMOUX; 685069; Oui; Oui
DORAS CLUNY; 11532; Oui; Oui
DORAS SA VILLEGUSIEN LELAC; 685100; Oui; Oui
SAMSE - CLUSES; 685101; Oui; Oui
LABENNE ROUGIER SNC COCUMONT; 685105; Oui; Oui
ABATE ETS; 685108; Oui; Oui
CHAUSSON MATX/COIGNIERES (PPI); 685129; Oui; Oui
ART & TRADITIONS FRANCAISES; 685155; Oui; Oui
SNC MAT. SA; 685163; Oui; Oui
POINT P - PROVINS; 685170; Oui; Oui
POINT P CIBOMAT SA COLMAR; 685205; Oui; Oui
U.M.H.S. LINAS; 685208; Oui; Oui
SOTRAMAT; 24225; Oui; Oui
BOROMAT - GEDIMAT AMBERT; 685223; Oui; Oui
POINT P SONEN LISIEUX; 685238; Oui; Oui
CHAVIGNY DISTRIBUTION AMBILLOU; 685260; Oui; Oui
COSTAMAGNA DISTRIBUTION 450 PUGET; 685269; Oui; Oui
BLANC MATERIAUX SARL - 895; 685277; Oui; Oui
STE D'EXPLOITATION BALLIVY; 685298; Oui; Oui
LABENNE ROUGIER SNC PUGNAC; 685304; Oui; Oui
CBA MATERIAUX - BMSO 1286 AMENDIEUX; 685315; Oui; Oui
POUDENX-CERVANTES SA; 685322; Oui; Oui
LABENNE ROUGIER SNC VILLENAVE; 685326; Oui; Oui
LE HOLLOCO L'ISLE ADAM SARL; 685333; Oui; Oui
GERVOIS MATERIAUX; 685336; Oui; Oui
POINT P - DOCKS DE L'OISE AMIENS; 685339; Oui; Oui
DERREY SAS - PULNOY; 685340; Oui; Oui
PAUL SERGEANT AMIENS; 685342; Oui; Oui
POINT P BMRA 1772 PUSIGNAN; 685346; Oui; Oui
SAMSE - PUSIGNAN 401; 685350; Oui; Oui
M+ COLOMBIERS; 685407; Oui; Oui
CHAUSSON MATX/COLOMIERS 2 (PPI); 685427; Oui; Oui
COMPTOIR COMM. LANGUEDOC ALBI; 685448; Oui; Oui
MATERIAUX SIMC PUYRICARD; 685487; Oui; Oui
MCPB; 685491; Oui; Oui
CHAUSSON MATX/L'ISLE D'ESPAGNAC (PP; 685492; Oui; Oui
DENIS MATERIAUX SA COMBOURG; 685511; Oui; Oui
CHAUSSON MATX/L'ISLE JOURDAIN; 685513; Oui; Oui
QUEMABRI SARL; 685519; Oui; Oui
TANGUY MD COMBOURG; 685530; Oui; Oui
UNION MATERIAUX CASTELNAU; 685537; Oui; Oui
LITT DIFFUSION VILLENEUVE LA GAREN.; 685546; Oui; Oui
BOIS & MATERIAUX QUÉVEN; 685553; Oui; Oui
LITT DIFFUSION COMBS LA VILLE; 685555; Oui; Oui
S.A.B.; 685558; Oui; Oui
BRETAGNE MATERIAUX TADEN; 685564; Oui; Oui
DMO POINT P BRETAGNE QUÉVERT; 685568; Oui; Oui
DERREY SAS - VEZELISE; 685572; Oui; Oui
POINT P TROUILLARD SA ANCENIS; 685593; Oui; Oui
POINT P BMRA 3638 LISSIEU; 685602; Oui; Oui
VALETTE MATERIAUX SARL; 685604; Oui; Oui
CHAUSSON MATX/ANDANCETTE; 685608; Oui; Oui
MARRE MATERIAUX SARL; 685609; Oui; Oui
QUEGUINER MATERIAUX QUIMPER; 685613; Oui; Oui
DMO POINT P BRETAGNE QUIMPER; 685617; Oui; Oui
LAUNAY MATERIAUX LIVAROT; 685618; Oui; Oui
MICHEL G - ETS GEDIMAT LIVAROT; 685622; Oui; Oui
TRIOMAT; 685623; Oui; Oui
SEE JACQ SAS QUIMPER; 685629; Oui; Oui
POINT P - DOCKS DE L'OISE COMPIEGNE; 685658; Oui; Oui
BOIS & MATERIAUX COMPIEGNE; 685662; Oui; Oui
CHAUSSON MATX/ANDERNOS; 685667; Oui; Oui
POINT P - LIVRY (357); 685711; Oui; Oui
THOMAS SOGRAMA (ANDREZIEUX); 685725; Oui; Oui
MANEN S.A. - ANDUZE; 685733; Oui; Oui
RESEAU PRO - CONCARNEAU; 1146062; Oui; Oui
ANET MATERIAUX; 685740; Oui; Oui
DMO POINT P BRETAGNE CONCARNEAU; 685743; Oui; Oui
BOIS & MATERIAUX LOCHES; 685758; Oui; Oui
POINT P - BMCE 3395 LOCHES; 685762; Oui; Oui
DMO POINT P BRETAGNE LOCMINÉ; 685766; Oui; Oui
RABONI IDF QUINCY VOISINS; 51790; Oui; Oui
POINT P NORMANDIE CONCHES; 10552; Oui; Oui
CHAUSSON MATX/LODEVE; 685790; Oui; Oui
GUIN FRERES SARL; 685798; Oui; Oui
QUISSAC MATERIAUX; 685801; Oui; Oui
SARREMEJEAN SEE SA CONDOM; 685838; Oui; Oui
GIRARDON MATERIAUX PLATEFORME; 685842; Oui; Oui
CHAUSSON MATX/VILLENEUVE SUR LOT; 685858; Oui; Oui
POINT P - BMSO 1303 PARASOL; 685864; Oui; Oui
BOUCHARD FRANCOISE ET FILS LOMBEZ; 685879; Oui; Oui
MATX JOBERT SA VILLENEUVE; 685899; Oui; Oui
STEINER MATERIAUX; 463249; Oui; Oui
POINT P TROUILLARD SA LONGEVILLE; 685924; Oui; Oui
VANZETTO BOIS ET MATERIAUX; 685940; Oui; Oui
CHAUSSON MATX/REALMONT; 685978; Oui; Oui
BOIS & MATERIAUX LONGUENESSE; 685992; Oui; Oui
POINT P TROUILLARD SA ANGERS; 685998; Oui; Oui
A.O.C MATX SARL; 686010; Oui; Oui
BOIS & MATERIAUX REDON; 686013; Oui; Oui
CHAUSSON MATX/CONFOLENS; 686019; Oui; Oui
TILHET MATERIAUX SAS LONS; 686030; Oui; Oui
POINT P - VILLEPINTE (484); 686031; Oui; Oui
CHAUSSON MATX/LONS; 686035; Oui; Oui
POINT P - BMSO 3692 LONS; 686039; Oui; Oui
CIFFREO BONA REGUSSE; 686040; Oui; Oui
CHAUSSON MATX/BAUGY; 686046; Oui; Oui
BIGMAT LIBAUD NEGOCE MATX ANGLES; 686049; Oui; Oui
CBA MATERIAUX - BMSO 1289 ANGLET; 686059; Oui; Oui
LITT DIFFUSION MUIZON; 686060; Oui; Oui
POINT P - DOCKS DE L'O.POMP REIMS; 686064; Oui; Oui
RUBIS PERE ET FILS SARL; 686067; Oui; Oui
POINT P - DOCKS DE L'O.COLB REIMS; 686069; Oui; Oui
DISTRICO SA VILLERS; 686078; Oui; Oui
MATERIAUX PICARDS - VILLERS; 686085; Oui; Oui
CIFFREO BONA CONTES; 686110; Oui; Oui
COMASUD (POINT P CONTES); 686116; Oui; Oui
VILLERS MATERIAUX SAS VILLERS; 686140; Oui; Oui
POINT P - DOCKS DE L'OISE ANICHE; 686166; Oui; Oui
RICHARD MATERIAUX ET LOCATION V./AU; 686170; Oui; Oui
LEDO MATERIAUX SARL; 686171; Oui; Oui
SAMSE - CORBAS ISOL. 195; 686185; Oui; Oui
COMASUD (POINT P LORGUES); 686202; Oui; Oui
CIFFREO BONA LORGUES; 686210; Oui; Oui
MOAN SAS LORIENT; 686227; Oui; Oui
POINT P BMRA 3792 VILLEURBANNE; 686229; Oui; Oui
POINT P - CORBEIL (352); 686251; Oui; Oui
U.M.H.S. CORBEIL-ESSONNES; 686255; Oui; Oui
PROMAT 91; 686259; Oui; Oui
POINT P BMRA 3531 ANNECY; 686298; Oui; Oui
FAURE/GEDIMAT VILLEURBANNE; 686322; Oui; Oui
GERMAT - CUSSENOT REMIREMONT; 686336; Oui; Oui
BOIS & MATERIAUX LORIENT; 686340; Oui; Oui
PREVOT CARTIER-DOCK D'ANNET; 686344; Oui; Oui
POINT P BMCE CORBIGNY; 11213; Oui; Oui
DORAS CORBIGNY; 12324; Oui; Oui
GERVAIS MATERIAUX VILLEVIEILLE; 55273; Oui; Oui
GEDIMAT FAREL-CLAVEL (GARE) REMOULI; 686392; Oui; Oui
DROME MATERIAUX SNR KILBURG LORIOL; 686394; Oui; Oui
POINT P BMRA 3648 RENAGE; 686408; Oui; Oui
BRETAGNE MATERIAUX ST GREGOIRE; 686416; Oui; Oui
BRETAGNE MATERIAUX LE HO; 686421; Oui; Oui
POINT P - BMSO 3678 LORMONT; 686422; Oui; Oui
M.D.M.L.; 686431; Oui; Oui
M+ CORNEBARRIEU; 686447; Oui; Oui
NOUET MATERIAUX - BIGMAT; 686457; Oui; Oui
SAMSE - CORNILLON; 686468; Oui; Oui
POINT P - DOCKS DE L'OISE ANNEZIN; 686485; Oui; Oui
BOIS & MATERIAUX ANNEZIN; 686490; Oui; Oui
PLATTARD NEGOCE LOUHANS; 686511; Oui; Oui
COMPTOIR COMM. LANGUEDOC IBOS; 686530; Oui; Oui
TOUJAS & COLL - LOURDES; 686536; Oui; Oui
POINT P - BMCE 4160 COSNE; 686550; Oui; Oui
SABALOT ET MONTOULIEU SARL; 686553; Oui; Oui
POINT P SONEN VIMOUTIERS; 686555; Oui; Oui
DORAS SA COSNE COURS/LOIRE; 686556; Oui; Oui
POINT P SONEN LOUVIERS; 686558; Oui; Oui
CIFFREO BONA ANTIBES; 686567; Oui; Oui
CHAUSSON MATX/VINAY; 686569; Oui; Oui
COSTAMAGNA DISTRIBUTION ANTIBES; 12082; Oui; Oui
PROVENCALE DE MATERIAUX ANTIBES; 686575; Oui; Oui
LAURENT MAURICE SAS COSTAROS; 686587; Oui; Oui
GUENEE MATERIAUX*; 10809; Oui; Oui
CHAVIGNY DISTRIBUTION VINEUIL; 686635; Oui; Oui
COMASUD (POINT P ANTIBES); 686660; Oui; Oui
MATERIAUX SIMC VINON; 686664; Oui; Oui
CIFFREO BONA VINON; 686669; Oui; Oui
LAGUNE FRERES (ETS) VIODOS; 686674; Oui; Oui
PLATTARD NEGOCE LOZANNE; 686677; Oui; Oui
QUEGUINER MATERIAUX LE RHEU; 686682; Oui; Oui
CHAUSSON MATX/COUDOUX; 686697; Oui; Oui
GUILLOUX MATERIAUX VIRE; 53313; Oui; Oui
POINT P - BMSO 1909 LUBERSAC; 686713; Oui; Oui
FRANCOIS MATERIAUX SAS COUFOULEUX; 686741; Oui; Oui
POINT P LA MERIDIONALE REQUISTA; 686760; Oui; Oui
MASSOL ET FILS SARL; 686764; Oui; Oui
CHAUSSON MATX/COUIZA; 686765; Oui; Oui
POINT P - VIRY CHATIL. 140; 686774; Oui; Oui
HOUDARD SA; 686779; Oui; Oui
POINT P - DOCKS DE L'OISE RETHEL; 10193; Oui; Oui
POINT P BMCE CHATEAU DU LOIR; 11567; Oui; Oui
LAURENT MAURICE SAS RETOURNAC; 686807; Oui; Oui
LIBAUD - LUCON; 686809; Oui; Oui
BOIS & MATERIAUX VITRÉ; 686830; Oui; Oui
PHILIBERT B. - COMASUD APT; 686835; Oui; Oui
PICOT MATERIAUX; 686836; Oui; Oui
POINT P LA MERIDIONALE REVEL; 10671; Oui; Oui
MATX MODERNES (APT); 686845; Oui; Oui
POINT P PAYS DE LOIRE LUCON; 11907; Oui; Oui
DUPONT MATERIAUX; 686858; Oui; Oui
POINT P CIBOMAT SA LUDRES; 686864; Oui; Oui
SAMSE - VIENNE 211; 686868; Oui; Oui
MATERIAUX PERIGOURDINS; 686881; Oui; Oui
