CHAUSSON MATX/AIGURANDE; 684771; Oui; Non
SAINT LEONARD MATERIAUX; 685226; Non; Oui
BAUDE BILLET M.T.C.; 685234; Oui; Non
CCL COLOMIERS; 275783; Non; Oui
CHAUSSON MATX/COLOMIERS 1; 685471; Non; Oui
CHAUSSON SO RABASTENS; 11794; Non; Oui
INDUSTRIE PREFAB. NEGOCE; 685841; Non; Oui
CF DISTRIBUTION; 685951; Non; Oui
AUX  MILLE ET UNE TEINTES; 686118; Non; Oui
BIGMAT DANTHON MATERIAUX VIRIEU; 686728; Oui; Non
MATERIAUX SIMC VITROLLES (PPI); 724279; Non; Oui
CHAUSSON MATX/VOUNEUIL; 687293; Non; Oui
VM DISTRIBUTION VOUNEUIL; 687302; Oui; Non
DOUSSELIN&GEOFFRAY JACQUET; 687458; Non; Oui
GEDIMAT FAREL-CLAVEL ROCHEFORT; 687569; Oui; Non
BARNIER TP TRANSPORTS; 688246; Non; Oui
M+ ROQUES; 688374; Non; Oui
AUBER CARRELAGE; 688610; Non; Oui
SOCAMAC AURILLAC; 689393; Non; Oui
DISTRIB RURAL TECHNIC DRT MAROLLES; 689674; Non; Oui
SELIMAT; 691025; Oui; Non
CHAUSSON MATX/FONSEGRIVE; 691349; Non; Oui
MOUSSE ROBERT; 691528; Non; Oui
BATTAGLIA-SOUMEILHAN SARL; 692191; Non; Oui
POINT P TROUILLARD SA TERRIERE; 692231; Non; Oui
CHAUSSON MATX/ST DOULCHARD; 692334; Non; Oui
PANOFRANCE BOURGES; 692339; Non; Oui
LES MATERIAUX MODERNES; 693415; Non; Oui
D.B.M MAT ST GILLES; 693568; Non; Oui
ALKERN NORD LES ANDELYS; 693575; Non; Oui
CHAUSSON MATX/ANNECY; 694049; Oui; Non
CHAUSSON MATX/NIORT (GROS OEUVRE); 694167; Non; Oui
DIDIER MATERIAUX VALENCE; 694680; Oui; Non
POINT P LA MERIDIONALE FORMIGUERES; 694786; Oui; Non
POINT P - BMCE 4047 ST JUNIEN; 695005; Non; Oui
CHADAPAUX S A; 695440; Non; Oui
POINT P - DOCKS DE L'OISE BOHAIN; 695598; Non; Oui
S.E.I. SA; 695773; Non; Oui
COMASUD (POINT P GAREOULT); 695908; Non; Oui
POINT P LA MERIDIONALE BOLQUERE; 695932; Oui; Non
BDM - YVON & FILS - SARGE LES LE MA; 298738; Non; Oui
SFIC GENNEVILLIERS THERMIQUE; 696170; Non; Oui
POINT P - BMSO FLOIRAC; 696348; Oui; Non
AU FORUM DU BATIMENT ST OUEN; 697320; Non; Oui
SAMSE - MONTPEZAT 810; 697420; Oui; Non
GREGOIRE ETS; 697584; Non; Oui
SEREP SARL BOURG ST MAURICE; 697849; Non; Oui
SAMSE GROUPE - GRENOBLE; 697921; Non; Oui
LA BOITE A OUTILS; 698702; Non; Oui
SAMSE PLATEFORME LOG APPRO; 698705; Non; Oui
CHAUSSON MATX/ST ALBAN CARRELAGES; 698757; Non; Oui
C.F.C.M.C. CIE FSE CAMIONAG; 699463; Non; Oui
JOLY LOCATION SARL; 699638; Oui; Oui
ROY  (ETS)  SCIERIE; 10375; Non; Oui
NOUVOBOIS MATERIAUX SARL; 700175; Oui; Non
POINT P - BMSO 3689 NIORT; 700206; Oui; Non
CHAUSSON MATX CARRELAGES/JUVIGNAC; 700394; Non; Oui
VM PLATEFORME MATERIAUX; 700556; Non; Oui
POINT P LA MERIDIONALE-MAT+ SERNHAC; 700770; Oui; Non
MULTI SERVICE BRICOLAGE SA; 701227; Oui; Non
SAUNIER ETS; 701427; Non; Oui
CHAUSSON MATX/CHALON; 701907; Non; Oui
BRAY CHARLY SUR MARNE; 702569; Oui; Non
PERCY MATERIAUX; 703013; Non; Oui
MATERIAUX SIMC LA GARDE; 703217; Non; Oui
BILLORE MATERIAUX SARL; 703327; Non; Oui
BONIFAY  LA LONDE; 703480; Non; Oui
TOUJAS & COLL - PAU; 703946; Non; Oui
CHAUSSON MATX/PAZIOLS; 704108; Oui; Non
RUAUX AGRICOLE ETS ST PIERRE SUR D.; 704211; Non; Oui
SAS MATERIAUX CARRELAGE MIDI; 704673; Oui; Oui
CHAUSSON MATX/PINSAGUEL; 704835; Non; Oui
LABENNE ROUGIER SNC LA TESTE; 704866; Non; Oui
LABENNE ROUGIER SNC LACANAU; 705066; Non; Oui
DECO PAV - CERAMICUM; 705297; Non; Oui
SAMSE - LARGENTIERE; 705537; Oui; Non
CHAUSSON MATX/P-FORME LAVAUR AUTO; 705650; Non; Oui
SAMSE - MDA; 705719; Non; Oui
IDF PLANCHERS SAS; 705761; Non; Oui
CHAUSSON MATX/PORTES LES VALENCE; 705850; Non; Oui
BIGMAT KILBURG - LE TEIL; 707492; Oui; Oui
CHAUSSON MATX/LIMOGES; 707978; Non; Oui
GIRARDON MATERIAUX - AMPUIS; 708170; Non; Oui
ALPES COULEUR DECORATION; 748132; Non; Oui
GIRARDON MATERIAUX - ST PRIEST; 763461; Non; Oui
BATIBOIS ALSACE; 11476; Non; Oui
PONTCHARRA MATERIAUX - SMCP; 771961; Non; Oui
GABRIEL * SAS ISSOIRE; 20900; Non; Oui
CIBA OUARY; 11082; Non; Oui
HENRY PIERRE ET FILS; 86446; Non; Oui
LOIRE MATERIAUX SORBIERS; 10934; Non; Oui
VETERMAT BORDEAUX; 794809; Non; Oui
PANOFRANCE FOUSSIER LE MANS; 11552; Oui; Non
LANCERY SAFIRE; 12002; Non; Oui
CUB SAS; 803203; Non; Oui
CHAUSSON SE NOYAREY; 977113; Non; Oui
BOYE (ETS)*    BORDEAUX; 10707; Non; Oui
MARMANDE MOUSSE (EURL); 845086; Non; Oui
ENDUIT DIFFUSION 78 BATVERT; 847140; Non; Oui
CAYREYRE PONT DE LABEAUME; 848753; Oui; Oui
MILLIANE S.A. MAZERES; 848760; Non; Oui
BRICO ARIZE FOURNIE ET FILS LE MAS; 848761; Non; Oui
SA LES BOIS CABANNAIS LES CABANNES; 848762; Non; Oui
BERTRAND MATERIAUX LAISSAC; 848776; Non; Oui
BRUNET MATERIAUX JURQUES; 848802; Oui; Non
FOURGEAUD MATERIAUX ROUMAZIERES LOU; 848827; Non; Oui
BOIS DECO LA ROCHELLE; 848839; Non; Oui
ARCOURT ET FILS PONS; 848868; Non; Oui
JEANNEAU SA PONS; 848869; Non; Oui
BATILOISIRS BIGMAT CHATEAUMEILLANT; 848878; Non; Oui
BOUDARD * GOUZON; 10478; Non; Oui
CMC CORBIER MATERIAUX CHAMBORIGAUD; 848996; Oui; Non
RAMONDOU & FILS ETS AYGUESVIVES; 849006; Non; Oui
RIU SARL BLM CONDOM; 849015; Non; Oui
SCCOBAPI SARL SAMATAN; 849017; Non; Oui
DALIES & FILS ETS CAZAUBON; 849018; Non; Oui
NOEL BERNARD MIELAN; 849019; Non; Oui
DATAS FRERES VIC FEZENSAC; 849020; Oui; Non
R. DALIES & FILS LIAS D'ARMAGNAC; 849021; Non; Oui
